CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,MW,Molecular_Weight,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)"
CM-2089720,JAK1 EC50(uM),0.0343,324.42,324.42,55.21,2.482,2.4809,1,5,3,0.47368,Class C,34.6,96,,,219
CM-2099657,JAK1 EC50(uM),0.861,375.46,375.46,48.05,2.864,0.1276,1,5,2,0.7,Class C,8.4,446,,,2.5
CM-2010280,JAK1 EC50(uM),1.04,309.29,309.29,49.22,0.965,0.8515,1,5,3,0.42857,Class C,,,,,
CM-2023213,JAK1 EC50(uM),0.0289,365.47,365.47,58.45,1.379,0.0882,1,6,3,0.61905,Class C,28.9,282,,,9.45
CM-2010062,JAK1 EC50(uM),0.0216,322.29,322.29,62.11,0.366,0.3659,1,6,3,0.5,Class C,59.6,379,,,9.03
CM-2053341,JAK1 EC50(uM),3,,271.36,56.84,1.888,-0.6864,2,5,2,0.6,Class C,21.1,619,,,9.79
CM-2069645,JAK1 EC50(uM),0.147,,298.38,66.21,1.855,1.8547,2,5,3,0.52941,Class C,47.7,141,,,9.62
CM-2028316,JAK1 EC50(uM),0.896,,354.41,88.41,0.689,0.6889,1,8,3,0.55556,Class C,43,541,,,12.7
CM-2054451,JAK1 EC50(uM),3,,371.48,74.34,3.171,3.1251,1,7,2,0.65,Class C,29.2,4,,,171
CM-2089116,JAK1 EC50(uM),0.00964,,312.41,55.21,2.311,2.3106,1,5,3,0.55556,Class C,32.1,146,,,62.1
CM-2027990,JAK1 EC50(uM),0.00847,,359.42,49.22,2.448,2.4469,1,5,3,0.57895,Class C,60.3,126,,,21.6
CM-2032741,JAK1 EC50(uM),3,,305.4,47.48,3.181,3.1808,0,5,2,0.6,Class C,49.9,584,,,730
CM-2062101,JAK1 EC50(uM),0.122,,284.36,54.04,2.35,2.304,1,5,2,0.5,Class C,85,304,,,9.72
CM-2119479,JAK1 EC50(uM),0.0216,,346.37,55.21,1.736,1.7355,1,5,3,0.55556,Class C,35.7,146,,,17.5
CM-2118849,JAK1 EC50(uM),0.225,,457.44,69.45,1.511,-0.3191,2,6,3,0.61905,Class C,24,106,,,13.3
CM-2142262,JAK1 EC50(uM),,,345.39,49.22,1.486,-0.3817,1,5,3,0.55556,Class C,30.9,548,,,27.1
CM-1349424,JAK1 EC50(uM),1.01,,255.32,58.01,0.391,-2.6319,2,5,3,0.42857,Class C,5.64,,,,6.79
CM-2115834,JAK1 EC50(uM),0.375,,345.39,49.22,1.552,0.3297,1,5,3,0.55556,Class C,,346,,,5.17
CM-2099644,JAK1 EC50(uM),0.0605,,310.4,71.84,1.688,1.5886,1,6,2,0.58824,Class C,,489,,,
CM-2115347,JAK1 EC50(uM),0.547,,357.4,49.22,0.956,-0.9836,1,5,3,0.57895,Class C,26.9,518,,,79.5
CM-2078794,JAK1 EC50(uM),0.0536,,282.34,55.21,0.906,0.9048,1,5,3,0.5,Class C,51.7,562,,,29.9
CM-2054985,JAK1 EC50(uM),3,,271.36,56.84,1.888,-0.6864,2,5,2,0.6,Class C,7.22,518,,,14.7
CM-2123344,JAK1 EC50(uM),2.32,,314.43,54.04,3.438,3.3924,1,5,2,0.66667,Class C,16.1,10,,,127
CM-2032740,JAK1 EC50(uM),3,,305.4,47.48,3.181,3.1808,0,5,2,0.6,Class C,65.4,556,,,741
CM-2120540,JAK1 EC50(uM),0.0124,,346.37,55.21,2.223,2.2221,1,5,3,0.55556,Class C,49.2,91,,,12.4
CM-2111023,JAK1 EC50(uM),1.5,,335.33,49.22,1.199,1.1984,1,5,3,0.5,Class C,52.1,355,,,30.3
CM-2115833,JAK1 EC50(uM),3,,345.39,49.22,1.552,0.3297,1,5,3,0.55556,Class C,9.23,541,,,13.9
CM-2004638,JAK1 EC50(uM),0.393,,337.34,49.22,1.767,1.7664,1,5,3,0.5,Class C,,293,,,27.8
CM-2042744,JAK1 EC50(uM),3,,353.39,48.05,3.226,3.18,1,5,2,0.64706,Class C,49.4,,,,30.8
